Date,Open,High,Low,Close,Volume
2019-03-01,12323.44629,12429.37891,12005.64941,12217.51367,101102
2019-03-04,12217.51367,12711.86426,12146.89258,12570.62109,1698208
2019-03-05,12570.62109,12570.62109,12252.8252,12252.8252,1940443
2019-03-06,12535.31055,12535.31055,12252.8252,12288.13574,40228
2019-03-07,12076.27148,12288.13574,12005.64941,12076.27148,4753044
2019-03-08,12005.64941,12429.37891,12005.64941,12252.8252,234447
2019-03-11,12076.27148,12394.06738,12076.27148,12252.8252,36136
2019-03-12,12252.8252,12500,12252.8252,12500,808790
2019-03-13,12570.62109,12641.24316,12464.68945,12570.62109,1816997
2019-03-14,12570.62109,12641.24316,12429.37891,12429.37891,163434
2019-03-15,12429.37891,12570.62109,12429.37891,12500,13445826
2019-03-18,12288.13574,12535.31055,12111.58203,12288.13574,5019040
2019-03-19,12711.86426,12711.86426,12288.13574,12429.37891,150747
2019-03-20,12288.13574,12429.37891,12217.51367,12288.13574,6897378
2019-03-21,12217.51367,12464.68945,12217.51367,12252.8252,228754
2019-03-22,12217.51367,12464.68945,12146.89258,12358.75684,3987880
2019-03-25,12358.75684,12358.75684,12217.51367,12323.44629,8241134
2019-03-26,12146.89258,12535.31055,12146.89258,12429.37891,409620
2019-03-27,12500,12500,12252.8252,12500,2542753
2019-03-28,12358.75684,12500,12076.27148,12146.89258,25170263
2019-03-29,12146.89258,12429.37891,12111.58203,12429.37891,1857395
2019-04-01,12429.37891,12429.37891,12146.89258,12146.89258,27471164
2019-04-02,12358.75684,12358.75684,11864.40723,11864.40723,57980074
2019-04-03,11864.40723,12288.13574,11864.40723,12288.13574,85176506
2019-04-04,12358.75684,12358.75684,12076.27148,12323.44629,8912119
2019-04-05,12111.58203,12358.75684,12111.58203,12358.75684,67157934
2019-04-08,12358.75684,12429.37891,12146.89258,12429.37891,455187
2019-04-09,12464.68945,12464.68945,12217.51367,12394.06738,46232
2019-04-10,12252.8252,12288.13574,12111.58203,12288.13574,11911828
2019-04-11,12288.13574,12394.06738,12288.13574,12358.75684,5798038
2019-04-12,12076.27148,12358.75684,12076.27148,12182.20313,16602019
2019-04-16,12288.13574,12288.13574,12076.27148,12288.13574,258391
2019-04-17,12146.89258,12288.13574,12111.58203,12111.58203,14221072
2019-04-18,12146.89258,12288.13574,12111.58203,12146.89258,2740655
2019-04-19,12146.89258,12288.13574,12076.27148,12111.58203,264622
2019-04-22,12076.27148,12288.13574,12076.27148,12288.13574,203847
2019-04-23,12288.13574,12288.13574,12005.64941,12288.13574,2810488
2019-04-24,12040.96094,12217.51367,12040.96094,12146.89258,134321
2019-04-25,12076.27148,12217.51367,12005.64941,12182.20313,112002
2019-04-26,12005.64941,12182.20313,12005.64941,12005.64941,159030
2019-05-02,12005.64941,12182.20313,12005.64941,12182.20313,3680396
2019-05-03,12182.20313,12288.13574,12005.64941,12288.13574,812968
2019-05-06,12288.13574,12288.13574,12146.89258,12146.89258,3809
2019-05-07,12076.27148,12217.51367,12076.27148,12076.27148,2840297
2019-05-08,12005.64941,12429.37891,12005.64941,12217.51367,2407818
2019-05-09,12323.44629,12923.72852,12111.58203,12853.10742,309126
2019-05-10,12782.48633,13064.97168,12711.86426,12923.72852,532331
2019-05-13,12923.72852,13064.97168,12535.31055,12570.62109,310401
2019-05-14,12570.62109,13064.97168,12288.13574,12288.13574,372889
2019-05-15,12288.13574,12570.62109,12288.13574,12464.68945,60434
2019-05-16,12358.75684,12711.86426,12358.75684,12711.86426,143568
2019-05-17,12711.86426,12711.86426,12429.37891,12570.62109,116281
2019-05-20,12252.8252,13206.21484,12252.8252,13206.21484,750904
2019-05-21,13206.21484,13206.21484,12994.35059,12994.35059,9815287
2019-05-22,12994.35059,13064.97168,12711.86426,12923.72852,4204896
2019-05-23,12923.72852,12994.35059,12570.62109,12923.72852,9085084
2019-05-24,12676.55371,13488.7002,12570.62109,12570.62109,23351001
2019-05-27,12570.62109,13064.97168,12570.62109,12994.35059,9651824
2019-05-28,12605.93262,13029.66113,12605.93262,12711.86426,11597677
2019-05-29,12711.86426,12782.48633,12500,12570.62109,9504645
2019-05-30,12500,12782.48633,12500,12782.48633,13507733
2019-05-31,12711.86426,12782.48633,12500,12500,12483215
2019-06-03,12429.37891,13206.21484,12323.44629,13135.59277,876872
2019-06-04,12641.24316,13100.28223,12500,12994.35059,21137538
2019-06-05,12994.35059,12994.35059,12500,12535.31055,10834977
2019-06-06,12570.62109,13064.97168,12500,12959.03906,438662
2019-06-07,12641.24316,12994.35059,12641.24316,12994.35059,398816
2019-06-10,12994.35059,12994.35059,12747.1748,12888.41797,5780862
2019-06-11,12888.41797,13064.97168,12782.48633,12959.03906,356902
2019-06-12,12959.03906,13100.28223,12817.79688,12817.79688,5260709
2019-06-13,12923.72852,12959.03906,12782.48633,12888.41797,15403205
2019-06-14,12888.41797,13029.66113,12817.79688,12853.10742,3949011
2019-06-17,12782.48633,13347.45801,12782.48633,13100.28223,2650029
2019-06-18,12959.03906,13170.9043,12959.03906,13135.59277,6808621
2019-06-19,13135.59277,13135.59277,12923.72852,13100.28223,234942
2019-06-20,12994.35059,13241.52539,12994.35059,13064.97168,16409259
2019-06-21,13135.59277,13170.9043,12923.72852,12923.72852,430548
2019-06-24,12853.10742,13241.52539,12853.10742,13206.21484,14815990
2019-06-25,12994.35059,13206.21484,12959.03906,13135.59277,7311317
2019-06-26,12994.35059,13170.9043,12994.35059,13029.66113,66537
2019-06-27,13100.28223,13206.21484,12959.03906,13206.21484,239119
2019-06-28,12959.03906,13276.83594,12853.10742,13276.83594,18596158
2019-07-01,13064.97168,13312.14648,13064.97168,13276.83594,167017
2019-07-02,13135.59277,13276.83594,12959.03906,13206.21484,91289
2019-07-03,13206.21484,13206.21484,12923.72852,12923.72852,75416
2019-07-04,12923.72852,13206.21484,12923.72852,13170.9043,28596728
2019-07-05,13170.9043,13206.21484,12959.03906,12959.03906,2617164
2019-07-08,12959.03906,13135.59277,12923.72852,12994.35059,1952876
2019-07-09,13100.28223,13100.28223,12747.1748,13064.97168,14429748
2019-07-10,12923.72852,13135.59277,12853.10742,13064.97168,11658636
2019-07-11,13064.97168,13170.9043,13029.66113,13100.28223,1898360
2019-07-12,13100.28223,13135.59277,12853.10742,12853.10742,61440
2019-07-15,12853.10742,12994.35059,12711.86426,12888.41797,171590
2019-07-16,12923.72852,12923.72852,12782.48633,12888.41797,1243729
2019-07-17,12782.48633,12994.35059,12711.86426,12923.72852,245699
2019-07-18,12747.1748,12853.10742,12217.51367,12217.51367,699192
2019-07-19,12570.62109,12923.72852,12358.75684,12923.72852,685060
2019-07-22,12782.48633,12923.72852,12711.86426,12711.86426,5842054
2019-07-23,12711.86426,12817.79688,12605.93262,12711.86426,4958039
2019-07-24,12641.24316,12782.48633,12641.24316,12676.55371,5595210
2019-07-25,12676.55371,12676.55371,12570.62109,12605.93262,87961
2019-07-26,12358.75684,12676.55371,12358.75684,12464.68945,4491113
2019-07-29,12394.06738,12782.48633,12394.06738,12782.48633,823758
2019-07-30,12500,12853.10742,12500,12676.55371,89916
2019-07-31,12429.37891,12747.1748,12429.37891,12676.55371,628180
2019-08-01,12464.68945,12711.86426,12464.68945,12500,3869658
2019-08-02,12500,12747.1748,12358.75684,12535.31055,860064
2019-08-05,12570.62109,12570.62109,12358.75684,12570.62109,307342
2019-08-06,12288.13574,12676.55371,12288.13574,12676.55371,126873
2019-08-07,12711.86426,12711.86426,12358.75684,12358.75684,135242
2019-08-08,12358.75684,12605.93262,12146.89258,12429.37891,273429
2019-08-09,12464.68945,12500,12182.20313,12500,2454565
2019-08-12,12288.13574,12500,12252.8252,12252.8252,118802
2019-08-13,12182.20313,12464.68945,12146.89258,12146.89258,99629
2019-08-14,12394.06738,12394.06738,12076.27148,12076.27148,74778
2019-08-15,12076.27148,12711.86426,11899.71777,12711.86426,176376
2019-08-16,12500,12500,12288.13574,12323.44629,22083836
2019-08-19,12464.68945,12464.68945,12146.89258,12288.13574,2281275
2019-08-20,12429.37891,12429.37891,12005.64941,12288.13574,7239526
2019-08-21,12076.27148,12535.31055,12040.96094,12323.44629,4341385
2019-08-22,12182.20313,12394.06738,12182.20313,12358.75684,64428
2019-08-23,12429.37891,12429.37891,12288.13574,12323.44629,15989089
2019-08-26,12217.51367,12217.51367,11864.40723,11899.71777,5943413
2019-08-27,12005.64941,12217.51367,12005.64941,12111.58203,6635687
2019-08-28,11970.33887,12217.51367,11935.02832,12146.89258,6719288
2019-08-29,11864.40723,12146.89258,11864.40723,12076.27148,73334
2019-08-30,11758.47461,12146.89258,11758.47461,11935.02832,2829691
2019-09-03,11935.02832,11935.02832,11723.16406,11935.02832,13879348
2019-09-04,11935.02832,11970.33887,11758.47461,11899.71777,6833601
2019-09-05,11899.71777,12076.27148,11758.47461,11793.78516,3426
2019-09-06,11723.16406,11935.02832,11723.16406,11935.02832,10762095
2019-09-09,11935.02832,12005.64941,11723.16406,12005.64941,65858
2019-09-10,11793.78516,11935.02832,11758.47461,11899.71777,4739408
2019-09-11,11793.78516,11899.71777,11723.16406,11864.40723,30288
2019-09-12,11758.47461,11864.40723,11723.16406,11864.40723,70247
2019-09-13,11864.40723,11864.40723,11687.85352,11864.40723,174776
2019-09-16,11370.05664,11864.40723,11370.05664,11864.40723,7887509
2019-09-17,11511.2998,11935.02832,11511.2998,11793.78516,225228
2019-09-18,11723.16406,11723.16406,11511.2998,11617.23145,36589
2019-09-19,11617.23145,11864.40723,11511.2998,11864.40723,159682
2019-09-20,11723.16406,11935.02832,11687.85352,11864.40723,8516333
2019-09-23,11864.40723,11864.40723,11652.54199,11793.78516,10100299
2019-09-24,11652.54199,11829.0957,11581.9209,11723.16406,28107
2019-09-25,11617.23145,11829.0957,11581.9209,11793.78516,46289
2019-09-26,11652.54199,11864.40723,11546.61035,11581.9209,110632
2019-09-27,11546.61035,11723.16406,11475.98828,11652.54199,130555
2019-09-30,11652.54199,11723.16406,11617.23145,11652.54199,508726
2019-10-01,11687.85352,11758.47461,11511.2998,11758.47461,8110706
2019-10-02,11723.16406,11758.47461,11652.54199,11723.16406,86404
2019-10-03,11581.9209,11864.40723,11581.9209,11864.40723,807176
2019-10-04,12111.58203,12111.58203,11723.16406,11935.02832,3036173
2019-10-07,12005.64941,12005.64941,11687.85352,11935.02832,184080
2019-10-08,11723.16406,11935.02832,11723.16406,11864.40723,40271
2019-10-09,11935.02832,12005.64941,11723.16406,11793.78516,3934653
2019-10-10,11687.85352,11793.78516,11652.54199,11793.78516,133160
2019-10-11,11970.33887,11970.33887,11581.9209,11723.16406,24213
2019-10-14,11723.16406,11899.71777,11617.23145,11864.40723,43683
2019-10-15,11864.40723,11864.40723,11652.54199,11793.78516,4974577
2019-10-16,11652.54199,11793.78516,11617.23145,11758.47461,11366430
2019-10-17,11758.47461,11758.47461,11546.61035,11546.61035,13737111
2019-10-18,11652.54199,11723.16406,11405.36719,11687.85352,198664
2019-10-21,11652.54199,11723.16406,11546.61035,11723.16406,4267937
2019-10-22,11723.16406,11723.16406,11475.98828,11723.16406,61326
2019-10-23,11723.16406,11723.16406,11511.2998,11652.54199,70247
2019-10-24,11511.2998,11652.54199,11511.2998,11652.54199,4259597
2019-10-25,11546.61035,11652.54199,11546.61035,11652.54199,70615
2019-10-28,11546.61035,11935.02832,11546.61035,11723.16406,846895
2019-10-29,11723.16406,11723.16406,11581.9209,11723.16406,11511060
2019-10-30,11581.9209,11723.16406,11581.9209,11652.54199,1458777
2019-10-31,11581.9209,11687.85352,11581.9209,11652.54199,57971
2019-11-01,11546.61035,11723.16406,10840.39551,11652.54199,8571274
2019-11-04,11617.23145,11687.85352,11511.2998,11652.54199,137819
2019-11-05,11687.85352,12464.68945,11581.9209,12288.13574,935055
2019-11-06,12288.13574,12288.13574,11723.16406,12288.13574,6631864
2019-11-07,12040.96094,12994.35059,11899.71777,12994.35059,259666
2019-11-08,12570.62109,13382.76855,12570.62109,12994.35059,1901532
2019-11-11,12641.24316,12994.35059,12641.24316,12994.35059,2341016
2019-11-12,12994.35059,13064.97168,12782.48633,13064.97168,193492
2019-11-13,12853.10742,13206.21484,12641.24316,13135.59277,386228
2019-11-14,12853.10742,13241.52539,12853.10742,13241.52539,802815
2019-11-15,13135.59277,13312.14648,13100.28223,13312.14648,442811
2019-11-18,13312.14648,13312.14648,12959.03906,13241.52539,781419
2019-11-19,13206.21484,13241.52539,12959.03906,12959.03906,20107
2019-11-20,12782.48633,12994.35059,12711.86426,12711.86426,59571
2019-11-21,12641.24316,12676.55371,11829.0957,11829.0957,698272
2019-11-22,12288.13574,12288.13574,11687.85352,12005.64941,262498
2019-11-25,12005.64941,12252.8252,11793.78516,12252.8252,97250
2019-11-26,12252.8252,12252.8252,11899.71777,12182.20313,628364
2019-11-27,12182.20313,12182.20313,11935.02832,12005.64941,7722821
2019-11-28,12005.64941,12111.58203,11829.0957,12076.27148,195379
2019-11-29,12182.20313,12182.20313,11899.71777,12076.27148,2971221
2019-12-02,12076.27148,12076.27148,11758.47461,11758.47461,30812
2019-12-03,11899.71777,12005.64941,11617.23145,11935.02832,121960
2019-12-04,11935.02832,11970.33887,11652.54199,11864.40723,141769
2019-12-05,11652.54199,11935.02832,11652.54199,11864.40723,7442496
2019-12-06,11687.85352,12076.27148,11652.54199,11970.33887,144715
2019-12-09,11970.33887,11970.33887,11652.54199,11864.40723,13015574
2019-12-10,11864.40723,11899.71777,11687.85352,11793.78516,7816107
2019-12-11,11723.16406,11864.40723,11581.9209,11793.78516,46897
2019-12-12,11687.85352,11935.02832,11617.23145,11829.0957,90751
2019-12-13,11829.0957,11899.71777,11687.85352,11864.40723,22302184
2019-12-16,11723.16406,11970.33887,11723.16406,11935.02832,77837
2019-12-17,11758.47461,12005.64941,11758.47461,12005.64941,122583
2019-12-18,12005.64941,12005.64941,11829.0957,11970.33887,7397566
2019-12-19,11793.78516,11970.33887,11687.85352,11723.16406,278654
2019-12-20,11687.85352,11970.33887,11687.85352,11970.33887,108762
2019-12-23,11970.33887,12570.62109,11758.47461,12111.58203,13105674
2019-12-24,12111.58203,12323.44629,12076.27148,12182.20313,164057
2019-12-25,12111.58203,12146.89258,11899.71777,12146.89258,27994
2019-12-26,12005.64941,12182.20313,11899.71777,12076.27148,25899716
2019-12-27,12076.27148,12111.58203,11899.71777,11935.02832,10765182
2019-12-30,12005.64941,12641.24316,11723.16406,12570.62109,276672
2019-12-31,12570.62109,12570.62109,11899.71777,12570.62109,212187
2020-01-02,12005.64941,12570.62109,12005.64941,12500,3307832
2020-01-03,12429.37891,12500,12182.20313,12182.20313,320256
2020-01-06,12076.27148,12464.68945,12076.27148,12358.75684,79550
2020-01-07,12358.75684,12464.68945,12076.27148,12323.44629,666921
2020-01-08,12111.58203,12358.75684,12111.58203,12217.51367,2008369
2020-01-09,12288.13574,12358.75684,12146.89258,12323.44629,14453820
2020-01-10,12358.75684,12853.10742,12358.75684,12711.86426,693216
2020-01-13,12711.86426,12782.48633,12217.51367,12711.86426,6034085
2020-01-14,12217.51367,12711.86426,12182.20313,12711.86426,10601379
2020-01-15,12711.86426,12711.86426,12358.75684,12711.86426,81986
2020-01-16,12323.44629,12711.86426,12288.13574,12394.06738,109017
2020-01-17,12358.75684,12711.86426,12358.75684,12570.62109,23812787
2020-01-20,12394.06738,12605.93262,12323.44629,12570.62109,827269
2020-01-21,12570.62109,12570.62109,12146.89258,12358.75684,1747556
2020-01-22,12358.75684,12358.75684,12146.89258,12323.44629,67288
2020-01-30,12217.51367,12994.35059,12005.64941,12676.55371,389923
2020-01-31,12676.55371,12711.86426,12217.51367,12605.93262,939459
2020-02-03,12252.8252,12570.62109,11758.47461,12500,161254
2020-02-04,12288.13574,12535.31055,12076.27148,12394.06738,262229
2020-02-05,12146.89258,12394.06738,12111.58203,12146.89258,7290516
2020-02-06,12040.96094,12500,12005.64941,12500,99983
2020-02-07,12500,12500,12182.20313,12358.75684,7796722
2020-02-10,12358.75684,12358.75684,12111.58203,12323.44629,116494
2020-02-11,12323.44629,12394.06738,12146.89258,12394.06738,1438231
2020-02-12,12464.68945,12464.68945,12217.51367,12323.44629,150053
2020-02-13,12217.51367,12358.75684,12217.51367,12288.13574,67217
2020-02-14,12217.51367,12358.75684,12146.89258,12217.51367,894458
2020-02-17,12288.13574,12323.44629,12182.20313,12252.8252,721154
2020-02-18,12358.75684,12394.06738,12217.51367,12288.13574,3051225
2020-02-19,12217.51367,12288.13574,12182.20313,12217.51367,35598
2020-02-20,12323.44629,12323.44629,12146.89258,12146.89258,373583
2020-02-21,12217.51367,12217.51367,11935.02832,12217.51367,1267419
2020-02-24,12217.51367,12217.51367,11652.54199,12146.89258,114115
2020-02-25,11652.54199,12252.8252,11652.54199,12146.89258,8563911
2020-02-26,12146.89258,12217.51367,12005.64941,12182.20313,644945
2020-02-27,12005.64941,12217.51367,12005.64941,12217.51367,341383
2020-02-28,12040.96094,12217.51367,11935.02832,12146.89258,33497589
2020-03-02,11970.33887,12570.62109,11970.33887,12500,1931778
2020-03-03,12182.20313,12535.31055,12182.20313,12358.75684,170783
2020-03-04,12464.68945,12464.68945,12146.89258,12358.75684,3803078
2020-03-05,12252.8252,12500,11829.0957,12217.51367,1268721
2020-03-06,12288.13574,12288.13574,11899.71777,12146.89258,871632
2020-03-09,11370.05664,12111.58203,11370.05664,12005.64941,193836
2020-03-10,11440.67773,12005.64941,11440.67773,11970.33887,4001800
2020-03-11,11970.33887,11970.33887,11228.81348,11864.40723,281330
2020-03-12,11370.05664,11829.0957,11052.25977,11793.78516,345588
2020-03-13,10981.63867,11758.47461,10981.63867,11581.9209,24522684
2020-03-16,11581.9209,11581.9209,10840.39551,11299.43457,1887471
2020-03-17,10663.8418,11440.67773,10663.8418,11370.05664,15174861
2020-03-18,11370.05664,11546.61035,11228.81348,11546.61035,3113642
2020-03-19,11299.43457,11546.61035,11016.94922,11052.25977,191188
2020-03-20,11052.25977,11299.43457,10805.08496,11264.12402,45113
2020-03-23,11299.43457,11511.2998,10487.28809,11299.43457,4942094
2020-03-24,10663.8418,11370.05664,10663.8418,11299.43457,3907367
2020-03-25,11087.57031,11334.74609,10911.0166,11299.43457,96811
2020-03-26,11299.43457,11299.43457,10699.15234,10875.70605,5642080
2020-03-27,10734.46289,11087.57031,10240.11328,11087.57031,790765
2020-03-30,10451.97754,11087.57031,10346.04492,11087.57031,539835
2020-03-31,10805.08496,11052.25977,10346.04492,10346.04492,885467
2020-04-01,9887.005859,10734.46289,9887.005859,10734.46289,19635502
2020-04-03,10487.28809,10734.46289,10063.55957,10734.46289,3487990
2020-04-06,10734.46289,10946.32813,10381.35547,10946.32813,6146999
2020-04-07,10593.2207,10946.32813,10593.2207,10946.32813,3062907
2020-04-08,10451.97754,10911.0166,10451.97754,10734.46289,5031699
2020-04-09,10734.46289,10805.08496,10628.53125,10734.46289,367735
2020-04-10,10628.53125,10699.15234,10346.04492,10699.15234,707631
2020-04-13,10699.15234,10734.46289,10487.28809,10734.46289,228131
2020-04-14,10734.46289,10840.39551,10557.90918,10699.15234,5066858
2020-04-15,10699.15234,10734.46289,10522.59863,10699.15234,14615923
2020-04-16,10593.2207,10734.46289,10557.90918,10699.15234,8779837
2020-04-17,10734.46289,11016.94922,10593.2207,10734.46289,1238773
2020-04-20,10805.08496,10946.32813,10663.8418,10734.46289,9819407
2020-04-21,10734.46289,10805.08496,10487.28809,10699.15234,352286
2020-04-22,10557.90918,11016.94922,10557.90918,10875.70605,3562698
2020-04-23,11016.94922,11087.57031,10805.08496,10805.08496,313813
2020-04-24,10699.15234,10875.70605,10699.15234,10805.08496,9857795
2020-04-27,10663.8418,10805.08496,10487.28809,10663.8418,34307527
2020-04-28,10593.2207,10699.15234,10487.28809,10699.15234,12382820
2020-04-29,10522.59863,10699.15234,10522.59863,10593.2207,10731665
2020-05-04,10451.97754,10663.8418,10451.97754,10628.53125,13371213
2020-05-05,10628.53125,10628.53125,10381.35547,10593.2207,10748586
2020-05-06,10593.2207,10593.2207,10451.97754,10593.2207,4706203
2020-05-07,10699.15234,10699.15234,10487.28809,10663.8418,2876915
2020-05-08,10628.53125,10981.63867,10628.53125,10769.77441,2057532
2020-05-11,10769.77441,10946.32813,10699.15234,10875.70605,263531
2020-05-12,10840.39551,10911.0166,10593.2207,10769.77441,296524
2020-05-13,10769.77441,10805.08496,10028.24902,10769.77441,709033
2020-05-14,10628.53125,10911.0166,10628.53125,10840.39551,1118073
2020-05-15,10805.08496,11016.94922,10769.77441,10946.32813,618593
2020-05-18,10875.70605,11122.88184,10805.08496,11122.88184,734748
2020-05-19,11158.19238,11617.23145,11158.19238,11475.98828,11610421
2020-05-20,11440.67773,11723.16406,11334.74609,11511.2998,4100339
2020-05-21,11581.9209,12288.13574,11511.2998,12288.13574,5123725
2020-05-22,11793.78516,12358.75684,11687.85352,11935.02832,908647
2020-05-25,11793.78516,12111.58203,11652.54199,11935.02832,6238672
2020-05-26,11864.40723,12076.27148,11864.40723,11935.02832,541450
2020-05-27,12005.64941,12429.37891,12005.64941,12146.89258,6189959
2020-05-28,12146.89258,12429.37891,11935.02832,11935.02832,4109486
2020-05-29,12005.64941,12429.37891,12005.64941,12217.51367,513229
2020-06-01,12323.44629,12782.48633,12076.27148,12323.44629,325056
2020-06-02,12323.44629,12711.86426,12323.44629,12429.37891,19168307
2020-06-03,12500,12817.79688,12429.37891,12464.68945,4456775
